role,policy_id,vector_hash,GEOID,cost_delay,cost_drop,total_cost
historical_2019,historical_2019,,36005022404,696.0,3200.0,3896.0
historical_2019,historical_2019,,36005022500,2640.0,3200.0,5840.0
historical_2019,historical_2019,,36005022701,1020.0,800.0,1820.0
historical_2019,historical_2019,,36005022703,680.0,400.0,1080.0
historical_2019,historical_2019,,36005022800,1444.0,1800.0,3244.0
historical_2019,historical_2019,,36005022901,2192.0,1800.0,3992.0
historical_2019,historical_2019,,36005022902,1258.0,3200.0,4458.0
historical_2019,historical_2019,,36005023000,2318.0,2600.0,4918.0
historical_2019,historical_2019,,36005023100,346.0,0.0,346.0
historical_2019,historical_2019,,36005023200,766.0,2200.0,2966.0
historical_2019,historical_2019,,36005023301,124.0,2000.0,2124.0
historical_2019,historical_2019,,36005023302,216.0,0.0,216.0
historical_2019,historical_2019,,36005023501,132.0,0.0,132.0
historical_2019,historical_2019,,36005023502,72.0,800.0,872.0
historical_2019,historical_2019,,36005023600,1330.0,800.0,2130.0
historical_2019,historical_2019,,36005023703,104.0,2200.0,2304.0
historical_2019,historical_2019,,36005023704,312.0,1400.0,1712.0
historical_2019,historical_2019,,36005023800,2076.0,2600.0,4676.0
historical_2019,historical_2019,,36005023900,516.0,2200.0,2716.0
historical_2019,historical_2019,,36005024000,838.0,3400.0,4238.0
historical_2019,historical_2019,,36005024100,668.0,1000.0,1668.0
historical_2019,historical_2019,,36005024300,3034.0,2800.0,5834.0
historical_2019,historical_2019,,36005024400,1892.0,3600.0,5492.0
historical_2019,historical_2019,,36005024501,336.0,1200.0,1536.0
historical_2019,historical_2019,,36005024502,1176.0,0.0,1176.0
historical_2019,historical_2019,,36005024600,3718.0,5800.0,9518.0
historical_2019,historical_2019,,36005024700,178.0,1400.0,1578.0
historical_2019,historical_2019,,36005024800,3332.0,2400.0,5732.0
historical_2019,historical_2019,,36005024900,208.0,400.0,608.0
historical_2019,historical_2019,,36005025000,3374.0,6200.0,9574.0
historical_2019,historical_2019,,36005025100,1416.0,3400.0,4816.0
historical_2019,historical_2019,,36005025200,2062.0,8000.0,10062.0
historical_2019,historical_2019,,36005025300,1518.0,1800.0,3318.0
historical_2019,historical_2019,,36005025400,2452.0,4600.0,7052.0
historical_2019,historical_2019,,36005025500,1230.0,1800.0,3030.0
historical_2019,historical_2019,,36005025600,2582.0,4800.0,7382.0
historical_2019,historical_2019,,36005025700,436.0,4600.0,5036.0
historical_2019,historical_2019,,36005026100,184.0,1800.0,1984.0
historical_2019,historical_2019,,36005026300,5988.0,2200.0,8188.0
historical_2019,historical_2019,,36005026400,5162.0,7200.0,12362.0
historical_2019,historical_2019,,36005026500,5792.0,1200.0,6992.0
historical_2019,historical_2019,,36005026601,1020.0,3600.0,4620.0
historical_2019,historical_2019,,36005026602,2572.0,5800.0,8372.0
historical_2019,historical_2019,,36005026701,2816.0,0.0,2816.0
historical_2019,historical_2019,,36005026702,5252.0,5000.0,10252.0
historical_2019,historical_2019,,36005026900,948.0,400.0,1348.0
historical_2019,historical_2019,,36005027300,1124.0,0.0,1124.0
historical_2019,historical_2019,,36005027401,2324.0,21800.0,24124.0
historical_2019,historical_2019,,36005027402,2878.0,5200.0,8078.0
historical_2019,historical_2019,,36005027600,728.0,0.0,728.0
historical_2019,historical_2019,,36005027700,1900.0,4400.0,6300.0
