calendar_year,random_seed,display_role,policy_id,vector_hash,efficiency_loss,equity_loss,historical_efficiency_loss,historical_equity_loss,efficiency_ratio_historical,equity_ratio_historical
2019,341,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13045877.333333334,964.4656386470704,16419478,1160.1949292345921,0.79453666756844121,0.8312962023401973
2019,342,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13113710.0,935.4439581520444,16419478,1160.1949292345921,0.79866789918656367,0.80628171575373009
2019,343,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13167278.666666664,933.3080319847797,16419478,1160.1949292345921,0.80193040647617808,0.80444070945949142
2019,344,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13276391.999999998,951.1989302397362,16419478,1160.1949292345921,0.80857576592873404,0.81986130629554166
2019,345,most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,13181795.999999998,929.4175542390661,16419478,1160.1949292345921,0.80281455963459969,0.80108741283003604
2019,321,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13271635.333333332,502.1689315977359,16419478,1160.1949292345921,0.80828606934601288,0.43283151731151637
2019,322,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13287661.333333332,526.6681678712531,16419478,1160.1949292345921,0.80926210524678877,0.45394800011641878
2019,323,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13249809.999999998,507.55233204709145,16419478,1160.1949292345921,0.80695683504676563,0.43747160003701763
2019,324,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13233783.333333336,532.5265349308054,16419478,1160.1949292345921,0.80598075854380602,0.45899746802214147
2019,325,balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,c088e7e14e7fcbbb27edc17239a52daaa7617d1af15dbd8a1b374b47c2e7df82,13134895.999999998,538.7660485386244,16419478,1160.1949292345921,0.79995819599137064,0.46437545533323532
