arm_name,budget_group,search_mode,global_batch,observations,target_observations,endpoint_best_loss,hypervolume_pct_final,elapsed_hours
d100_median_borough_efficiency,borough,efficiency,24,1600,3200,15.922551999999998,77.2907082938373,21.25187358324545
d100_median_borough_efficiency,borough,efficiency,25,1664,3200,15.873856000000002,77.36764257580455,23.06218806996463
d100_median_borough_efficiency,borough,efficiency,26,1728,3200,15.801042,77.51184873201245,26.097246402792678
d100_median_borough_efficiency,borough,efficiency,27,1792,3200,15.698406666666669,77.73843674374272,27.63175586724628
d100_median_borough_efficiency,borough,efficiency,28,1856,3200,15.637263333333337,77.890194358881,33.95070097328377
d100_median_borough_efficiency,borough,efficiency,29,1920,3200,15.445878666666664,87.04421078874323,38.200866155223245
d100_median_borough_efficiency,borough,efficiency,30,1984,3200,15.311867333333335,92.94417118652485,41.3199158908538
d100_median_borough_efficiency,borough,efficiency,31,2048,3200,15.148188666666666,96.44440795858877,44.60232839444769
d100_median_borough_efficiency,borough,efficiency,32,2112,3200,15.107103333333336,96.54495003733504,47.371887369201026
d100_median_borough_efficiency,borough,efficiency,33,2176,3200,15.107103333333336,96.8459997719529,49.65879416287796
d100_median_borough_efficiency,borough,efficiency,34,2240,3200,15.100769333333332,97.32065842271892,57.948149917624896
d100_median_borough_efficiency,borough,efficiency,35,2304,3200,15.100769333333332,97.32065842271892,61.906347536502125
d100_median_borough_efficiency,borough,efficiency,36,2368,3200,15.100769333333332,98.082348433097,63.48897162920433
d100_median_borough_efficiency,borough,efficiency,37,2432,3200,15.100769333333332,98.08266399399915,64.89541949554045
d100_median_borough_efficiency,borough,efficiency,38,2496,3200,15.100769333333332,98.08289789892635,67.15609151956127
d100_median_borough_efficiency,borough,efficiency,39,2560,3200,15.100769333333332,98.08289789892635,68.97570317994044
d100_median_borough_efficiency,borough,efficiency,40,2624,3200,15.100769333333332,98.08289789892635,72.4179275748632
d100_median_borough_efficiency,borough,efficiency,41,2688,3200,15.100769333333332,99.54185737298336,77.62370652033376
d100_median_borough_efficiency,borough,efficiency,42,2752,3200,15.100769333333332,99.54185737298336,82.36999066715488
d100_median_borough_efficiency,borough,efficiency,43,2816,3200,15.100769333333332,99.54185737298336,84.51707811865874
d100_median_borough_efficiency,borough,efficiency,44,2880,3200,15.100769333333332,99.54185737298336,104.02392380409933
d100_median_borough_efficiency,borough,efficiency,45,2944,3200,15.100769333333332,99.54185737298336,110.10306361795047
d100_median_borough_efficiency,borough,efficiency,46,3008,3200,15.081100666666664,99.58446456871374,123.82886328266378
