role,policy_id,vector_hash,budget_group,display_role,paper_role,borough,category,borough_budget_share,inspection_priority_weight,per_review_retention_probability
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Prune,0.37958767350882605,0.00023932837561719145,0.11363810188686621
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Remove Tree,0.37958767350882605,0.1835650321905532,0.1
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Queens,Root/Sewer/Sidewalk,0.37958767350882605,0.00023932837561719145,0.24218760357321198
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Hazard,0.1297068184142259,0.5208193463842044,1.0
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Illegal Tree Damage,0.1297068184142259,0.013787003862854991,0.527360432793924
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Other,0.1297068184142259,0.26627592577244164,0.6938020815227071
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Prune,0.1297068184142259,0.00026933255132965804,0.12032309075972698
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Remove Tree,0.1297068184142259,0.19857905887783991,0.3988821945695183
borough_most_efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,d75d21eacf056c54fe6739956c16a8a6d4d7fd75e61fbcf2bc8e8a06fcc3a4cb,borough,most_efficient,Most efficient,Staten Island,Root/Sewer/Sidewalk,0.1297068184142259,0.00026933255132965804,0.18100973667327816
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Hazard,0.11105011357434127,0.34564934015793364,0.5918652751643748
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Illegal Tree Damage,0.11105011357434127,0.16562575729991344,0.1
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Other,0.11105011357434127,0.13461019825859158,0.2221120279266891
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Prune,0.11105011357434127,0.0001728246700789668,0.5056963269248834
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Remove Tree,0.11105011357434127,0.11097481894320015,0.3653604140879149
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Bronx,Root/Sewer/Sidewalk,0.11105011357434127,0.2429670606702822,0.3278162678910493
borough_most_equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,3ddf760e53e2891ee7500c6abd9312b54557d9d1d0a4c6d79fb33f498515ea3e,borough,most_equitable,Most equitable,Brooklyn,Hazard,0.3416309626311456,0.16749047808409567,0.1
