setting_id,budget_group,policy_id,efficiency_ratio_historical,equity_ratio_historical
d100_delay_median_cap1,borough,search_arm0_index154,1.7598705634856358,2.116254745864359
d100_delay_median_cap1,borough,search_arm0_index155,1.728986877658352,2.1878913310144994
d100_delay_median_cap1,borough,search_arm0_index156,1.7243004923786251,2.2644946804791655
d100_delay_median_cap1,borough,search_arm0_index157,1.6834704895409383,2.1849866800850695
d100_delay_median_cap1,borough,search_arm0_index158,1.6448778700516546,2.130304385264116
d100_delay_median_cap1,borough,search_arm0_index159,1.6309279340873886,2.0869497328810307
d100_delay_median_cap1,borough,search_arm0_index160,1.5870377852450608,2.0607645790506868
d100_delay_median_cap1,borough,search_arm0_index161,1.6419368102526357,2.2423582065814482
d100_delay_median_cap1,borough,search_arm0_index162,1.7139163620183298,2.2076608812252454
d100_delay_median_cap1,borough,search_arm0_index163,1.6458790793065001,2.2765628263590107
d100_delay_median_cap1,borough,search_arm0_index164,1.6227800502143452,2.190096137214476
d100_delay_median_cap1,borough,search_arm0_index165,1.6893727072200468,2.2508726930694567
d100_delay_median_cap1,borough,search_arm0_index166,1.6980724559777927,2.177979334397159
d100_delay_median_cap1,borough,search_arm0_index167,1.6001040958792967,2.1677011491757914
d100_delay_median_cap1,borough,search_arm0_index168,1.709366034657131,2.260654959712178
d100_delay_median_cap1,borough,search_arm0_index169,1.7189389739836225,2.1407923766504435
d100_delay_median_cap1,borough,search_arm0_index170,1.7235778547080896,2.24632312701675
d100_delay_median_cap1,borough,search_arm0_index171,1.6907901700650898,2.2388533669467328
d100_delay_median_cap1,borough,search_arm0_index172,1.7060031993708937,2.237953805842833
d100_delay_median_cap1,borough,search_arm0_index173,1.67057641337116,2.154674136059682
d100_delay_median_cap1,borough,search_arm0_index174,1.541679786247366,2.161628484994531
d100_delay_median_cap1,borough,search_arm0_index175,1.665635939624065,2.2927822829578433
d100_delay_median_cap1,borough,search_arm0_index176,1.7059520000168902,2.248094355327609
d100_delay_median_cap1,borough,search_arm0_index177,1.6707912395266158,2.1888638160533764
d100_delay_median_cap1,borough,search_arm0_index178,1.755730155773933,2.218480558128235
d100_delay_median_cap1,borough,search_arm0_index179,1.6964091063065465,2.1935009938316563
d100_delay_median_cap1,borough,search_arm0_index180,1.662560405391694,2.0817467307762625
d100_delay_median_cap1,borough,search_arm0_index181,1.6611919493827187,2.163420940561856
d100_delay_median_cap1,borough,search_arm0_index182,1.7815001183350652,2.131568592047987
d100_delay_median_cap1,borough,search_arm0_index183,1.7242265964037755,2.2385432744404814
d100_delay_median_cap1,borough,search_arm0_index184,1.6497294250158259,2.144864512021971
d100_delay_median_cap1,borough,search_arm0_index185,1.695053764802998,2.222851856954956
d100_delay_median_cap1,borough,search_arm0_index186,1.6456211336316537,2.228752269672424
d100_delay_median_cap1,borough,search_arm0_index187,1.6335092991384987,2.161847802273524
d100_delay_median_cap1,borough,search_arm0_index188,1.7058658827846616,2.221814067079872
d100_delay_median_cap1,borough,search_arm0_index189,1.6607597797364002,2.1834310942850066
d100_delay_median_cap1,borough,search_arm0_index190,1.7205965581447429,2.252887513993078
d100_delay_median_cap1,borough,search_arm0_index191,1.73624618273492,2.2347134846745136
d100_delay_median_cap1,borough,search_arm0_index192,1.5764119500835123,2.3469025444761695
d100_delay_median_cap1,borough,search_arm0_index193,1.4863887877556157,1.9716750915198467
d100_delay_median_cap1,borough,search_arm0_index194,1.608782203672979,2.0730583836053715
d100_delay_median_cap1,borough,search_arm0_index195,1.4724243162094837,2.006888512789374
d100_delay_median_cap1,borough,search_arm0_index196,1.527752912323603,2.0234528935447536
d100_delay_median_cap1,borough,search_arm0_index197,1.5720575688622174,2.02108194229981
d100_delay_median_cap1,borough,search_arm0_index198,1.4764498603426979,1.9777510879454816
d100_delay_median_cap1,borough,search_arm0_index199,1.4756459370998274,2.0732984571025255
d100_delay_median_cap1,borough,search_arm0_index200,1.5695157909404918,2.0527661139862388
d100_delay_median_cap1,borough,search_arm0_index201,1.5956312374851382,2.0672365966935344
d100_delay_median_cap1,borough,search_arm0_index202,1.5645293149189434,2.1297989371566524
d100_delay_median_cap1,borough,search_arm0_index203,1.480793319576501,2.035156996887539
d100_delay_median_cap1,borough,search_arm0_index204,1.547144840211526,2.0674486872213533
d100_delay_median_cap1,borough,search_arm0_index205,1.5160483177358013,2.06549452128309
d100_delay_median_cap1,borough,search_arm0_index206,1.566902025346563,2.0495473372123323
d100_delay_median_cap1,borough,search_arm0_index207,1.5059576193591537,1.9765330575344013
d100_delay_median_cap1,borough,search_arm0_index208,1.5017228521718735,2.1052820520265634
d100_delay_median_cap1,borough,search_arm0_index209,1.5948585779239346,2.087593176838891
d100_delay_median_cap1,borough,search_arm0_index210,1.5790241321922658,2.0588325766966524
d100_delay_median_cap1,borough,search_arm0_index211,1.464132660002955,2.042211346795109
d100_delay_median_cap1,borough,search_arm0_index212,1.4953831053581605,2.2647740998581085
d100_delay_median_cap1,borough,search_arm0_index213,1.5350983752345841,2.1566764561406147
d100_delay_median_cap1,borough,search_arm0_index214,1.5155058319555996,2.12328506868461
d100_delay_median_cap1,borough,search_arm0_index215,1.5419901087395511,2.0113079701368273
d100_delay_median_cap1,borough,search_arm0_index216,1.506446753869601,2.0595765307727003
d100_delay_median_cap1,borough,search_arm0_index217,1.555589485447304,2.0830599057575583
d100_delay_median_cap1,borough,search_arm0_index218,1.5165088277065402,2.0225281533261046
d100_delay_median_cap1,borough,search_arm0_index219,1.604104426056257,2.1418253500781153
d100_delay_median_cap1,borough,search_arm0_index220,1.4820988015981182,2.0472025294183642
d100_delay_median_cap1,borough,search_arm0_index221,1.5682928125567286,2.22510193288372
d100_delay_median_cap1,borough,search_arm0_index222,1.6684302631301677,2.264595229579379
d100_delay_median_cap1,borough,search_arm0_index223,1.5112851943283458,2.057769999549794
d100_delay_median_cap1,borough,search_arm0_index224,1.503117699600438,2.1076886890915083
d100_delay_median_cap1,borough,search_arm0_index225,1.5817002627407926,2.0491766798187925
d100_delay_median_cap1,borough,search_arm0_index226,1.5584811729905985,2.1790131441298133
d100_delay_median_cap1,borough,search_arm0_index227,1.5748212783215965,2.0167599068245194
d100_delay_median_cap1,borough,search_arm0_index228,1.647622983710769,2.088078066019195
d100_delay_median_cap1,borough,search_arm0_index229,1.5353132825944085,2.312072537768005
d100_delay_median_cap1,borough,search_arm0_index230,1.5337974812597577,2.00236355634601
d100_delay_median_cap1,borough,search_arm0_index231,1.5327287505729479,2.0213303352131997
d100_delay_median_cap1,borough,search_arm0_index232,1.5947571942705285,2.165440989712335
d100_delay_median_cap1,borough,search_arm0_index233,1.6096425233494027,2.1918119051992124
d100_delay_median_cap1,borough,search_arm0_index234,1.527470970758023,2.085870336603608
d100_delay_median_cap1,borough,search_arm0_index235,1.548680983240352,2.0065616310201673
d100_delay_median_cap1,borough,search_arm0_index236,1.5135358139887274,2.216858599405128
d100_delay_median_cap1,borough,search_arm0_index237,1.5215513753441696,2.0528387232232372
d100_delay_median_cap1,borough,search_arm0_index238,1.5290579477211965,1.9611547171902355
d100_delay_median_cap1,borough,search_arm0_index239,1.466579469416344,2.1078369186115036
d100_delay_median_cap1,borough,search_arm0_index240,1.5956887301776586,2.1903130378334685
d100_delay_median_cap1,borough,search_arm0_index241,1.4735226052862338,2.14505228733476
d100_delay_median_cap1,borough,search_arm0_index242,1.5283431462721697,1.988825138136916
d100_delay_median_cap1,borough,search_arm0_index243,1.5862529044264784,2.139857858882914
d100_delay_median_cap1,borough,search_arm0_index244,1.617674934611198,2.255511681134903
d100_delay_median_cap1,borough,search_arm0_index245,1.548879446715663,2.122070705687201
d100_delay_median_cap1,borough,search_arm0_index246,1.5431695615820837,2.0598054468297073
d100_delay_median_cap1,borough,search_arm0_index247,1.5460363599865967,2.135135651378775
d100_delay_median_cap1,borough,search_arm0_index248,1.6485332440734917,2.2663263903966064
d100_delay_median_cap1,borough,search_arm0_index249,1.5656882636585645,2.114609555617751
d100_delay_median_cap1,borough,search_arm0_index250,1.4986408621922487,1.95202006098562
d100_delay_median_cap1,borough,search_arm0_index251,1.59181073438104,2.2056923109464304
d100_delay_median_cap1,borough,search_arm0_index252,1.645525556090557,2.202566138872903
d100_delay_median_cap1,borough,search_arm0_index253,1.5567202562712408,2.108845363816409
d100_delay_median_cap1,borough,search_arm0_index254,1.5471364761616255,2.1319528917188997
d100_delay_median_cap1,borough,search_arm0_index255,1.5707755143007591,2.1120355268798616
d100_delay_median_cap1,borough,search_arm0_index256,1.434037103168972,1.8445539886478142
d100_delay_median_cap1,borough,search_arm0_index257,1.5693310916055516,1.788860123299915
d100_delay_median_cap1,borough,search_arm0_index258,1.4007871626613224,2.0440609088761623
d100_delay_median_cap1,borough,search_arm0_index259,1.4226436025148503,1.809743420969416
d100_delay_median_cap1,borough,search_arm0_index260,1.511172360859056,1.8457297147318672
d100_delay_median_cap1,borough,search_arm0_index261,1.4000173046508138,1.967290743797948
d100_delay_median_cap1,borough,search_arm0_index262,1.4580986476346363,1.8204510917223922
d100_delay_median_cap1,borough,search_arm0_index263,1.4055993741092137,1.889449198440361
d100_delay_median_cap1,borough,search_arm0_index264,1.4112270398202262,1.818030030484079
d100_delay_median_cap1,borough,search_arm0_index265,1.4570990624671503,1.9106396192484139
d100_delay_median_cap1,borough,search_arm0_index266,1.4298872757505852,1.956901532911524
d100_delay_median_cap1,borough,search_arm0_index267,1.5014040438232363,1.9088987386938345
d100_delay_median_cap1,borough,search_arm0_index268,1.5217830108037944,1.7511347817631597
d100_delay_median_cap1,borough,search_arm0_index269,1.413972478296813,1.9833726894204609
d100_delay_median_cap1,borough,search_arm0_index270,1.4872409463930583,1.9335242730278224
d100_delay_median_cap1,borough,search_arm0_index271,1.416916664463998,2.0037517617002654
d100_delay_median_cap1,borough,search_arm0_index272,1.4701677280280572,1.8806914750803594
d100_delay_median_cap1,borough,search_arm0_index273,1.3964877161949563,1.8929086441209801
d100_delay_median_cap1,borough,search_arm0_index274,1.4303568806105365,1.714790745673259
d100_delay_median_cap1,borough,search_arm0_index275,1.429649022134971,2.1345968150237846
d100_delay_median_cap1,borough,search_arm0_index276,1.4403970292681245,1.8697691191910932
d100_delay_median_cap1,borough,search_arm0_index277,1.4931023182750796,2.0262589847049663
d100_delay_median_cap1,borough,search_arm0_index278,1.426609299028873,2.0002996762136402
d100_delay_median_cap1,borough,search_arm0_index279,1.4465153723725765,1.9058778429135392
d100_delay_median_cap1,borough,search_arm0_index280,1.4668481746699455,1.985789895082203
