weight_id,weight_label,weight_family,power_exponent,display_role,policy_label,policy_id,weight_Hazard,weight_Illegal Tree Damage,weight_Remove Tree,weight_Other,weight_Prune,weight_Root/Sewer/Sidewalk,efficiency_relative_to_historical,efficiency_sem_relative_to_historical,equity_relative_to_historical,equity_sem_relative_to_historical,improves_efficiency,improves_equity,improves_both
power_0p25,Ordered power $\eta=0.25$,named,0.25,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,7.459713241907281,7.054961204103688,7.054961204103688,6.565381177315692,5.932491586284822,5.932491586284822,0.9740298731868323,0.0005873902861300249,0.552855915902615,0.0025037301931877982,True,True,True
power_0p50,Ordered power $\eta=0.5$,named,0.5,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,8.28438278752481,7.409777225813869,7.409777225813869,6.417055313938193,5.2395037234546304,5.2395037234546304,0.9198771403542103,0.0006571789819499811,0.516548564241382,0.0024826661926866177,True,True,True
power_0p75,Ordered power $\eta=0.75$,named,0.75,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,9.133520315323704,7.726017532379106,7.726017532379106,6.226609599777079,4.5939175100705,4.5939175100705,0.8642997444786874,0.0007317624650191603,0.4810314728963135,0.0024787108778252685,True,True,True
power_1p25,Ordered power $\eta=1.25$,named,1.25,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,10.877042594524774,8.22949741163355,8.22949741163355,5.74380770942575,3.4600774363911877,3.4600774363911877,0.7531220370351895,0.0008861492203344867,0.41431154335037373,0.0025245043285009043,True,True,True
power_1p50,Ordered power $\eta=1.5$,named,1.5,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,11.758460297413002,8.41366929143932,8.41366929143932,5.4648385090706,2.974681305318878,2.974681305318878,0.6995884129791784,0.0009618512495792901,0.38393294586286697,0.0025732937177081433,True,True,True
power_2p00,Ordered power $\eta=2$,named,2.0,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,13.513513513513514,8.64864864864865,8.64864864864865,4.864864864864865,2.1621621621621623,2.1621621621621623,0.6008317881269016,0.0011025019900023502,0.3305767732689082,0.0027154836858932978,True,True,True
assigned,Assigned,named,1.0,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,10.0,8.0,8.0,6.0,4.0,4.0,0.9023499870093312,0.00041597346372733673,0.4261185112706627,0.0029940725881567633,True,True,True
equal,Equal,named,0.0,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,1.0253508720912836,0.00028889026874671356,0.552423422506609,0.0025530738459319914,False,True,False
power_0p25,Ordered power $\eta=0.25$,named,0.25,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,7.459713241907281,7.054961204103688,7.054961204103688,6.565381177315692,5.932491586284822,5.932491586284822,0.9967398513272331,0.00031092833437811073,0.5201183426576252,0.002646699808649833,True,True,True
power_0p50,Ordered power $\eta=0.5$,named,0.5,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,8.28438278752481,7.409777225813869,7.409777225813869,6.417055313938193,5.2395037234546304,5.2395037234546304,0.9663690009006733,0.0003411367033412703,0.48800207219413383,0.0027529340109479663,True,True,True
power_0p75,Ordered power $\eta=0.75$,named,0.75,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,9.133520315323704,7.726017532379106,7.726017532379106,6.226609599777079,4.5939175100705,4.5939175100705,0.9347207900941283,0.0003770023278981271,0.45652527929475917,0.0028695780761814373,True,True,True
power_1p25,Ordered power $\eta=1.25$,named,1.25,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,10.877042594524774,8.22949741163355,8.22949741163355,5.74380770942575,3.4600774363911877,3.4600774363911877,0.8698403432916416,0.0004558458662421187,0.39716915989478274,0.0031237358778190235,True,True,True
power_1p50,Ordered power $\eta=1.5$,named,1.5,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,11.758460297413002,8.41366929143932,8.41366929143932,5.4648385090706,2.974681305318878,2.974681305318878,0.8377580231272688,0.0004949049101060899,0.3700025490838603,0.003255980737840171,True,True,True
power_2p00,Ordered power $\eta=2$,named,2.0,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,13.513513513513514,8.64864864864865,8.64864864864865,4.864864864864865,2.1621621621621623,2.1621621621621623,0.7768104191589187,0.0005662080473829611,0.3219379437403913,0.0035193055223718653,True,True,True
observed_mean_recorded_risk_2019_2022,Average recorded risk,borough_category_observed_recorded_risk,,most_efficient,Most Efficient,candidate_d100_delay_median_cap1_borough_c7df3d1fd0b07964,,,,,,,0.9640944932731023,0.0005493942774129244,0.8130925009776948,0.00265625433106034,True,True,True
observed_mean_recorded_risk_2019_2022,Average recorded risk,borough_category_observed_recorded_risk,,balanced,Balanced,candidate_d100_delay_median_cap1_borough_500e7870e139a8dc,,,,,,,0.9711485005829502,0.0005747079057821579,0.5648417864980232,0.001992801084538598,True,True,True
observed_mean_recorded_risk_2019_2022,Average recorded risk,borough_category_observed_recorded_risk,,most_equitable,Most Equitable,candidate_d100_delay_median_cap1_borough_9da82092c7ffaf17,,,,,,,1.0147441469837417,0.00030921557506608606,0.5123068641934598,0.0027804553493612715,False,True,False
